Question,Answer
"Bijour, 117.","J'aurais dû m'en douter. Tu n'es pas seulement un lâche, tu es un traître. Comme ta petite taille le laissait deviner."
"Silence, Lokhtar. Où est le Kapov, Bramard ?","Je ne vous dirai rien, Moeller. Le Troisième Reich et l'idéologie nazie m'ont toujours rendu… dubitatif."
"Ça suffit, Lokhtar ! Tu te tais ou je te tais ! T'es toléré ici. Toléré. Là, je suis embêté, parce que je ne peux pas vous dire ""parlez sinon je vous tue"", parce que je vais vous tuer de toute façon. Pour Herman, vous comprenez. Mais peut-être ceci vous incitera-t-il à m'aider. Oh, scheiße. Alors, Herr Bramard, que décidez-vous ? Les armes ou votre secrétaire.",Mademoiselle El Akmar Betouche ne fait plus partie de la SCEP.
"Oui, oui. Comment la trouvez-vous ? Voulez-vous que je la déshabille devant mes hommes ?",Faites ce que vous voulez. Je n'ai aucune attirance pour cette femme.
Ah mais que je suis bête… Cela aurait sans doute été plus facile avec Herr Setine à sa place. Lui qui tripote si bien les kikis.,Quoi kiki ? Quel kiki ?
"""J'aime quand on m'enduit d'huile"".",Je n'ai jamais dit cela.
"Ah, je t'ai vu !","Non, arrêtez. Alors là, c'est n'importe quoi. Alors là, n'importe quoi."
"Ah, Herr Bramard… Je vais vous montrer quelque chose, Herr Bramard. Vous voyez ces écrans ? Il s'agit d'un système de surveillance hyper sophistiqué. Un système tout simplement épatant. Des machines qui permettent d'enregistrer des images sur une bande magnétique. J'ai appelé ça des enregistroscopes. Lokhtar. Le temps que les écrans chauffent et nous allons pouvoir revivre…",Adieu Moeller.
Comment avez-vous fait ça ?,"Ma chère, quand on s'intéresse à une culture, on en apprend la langue. En l'occurrence, il s'agit de hiéroglyphes."
"Comment va-t-on sortir d'ici ? On ne pourra jamais sortir d'ici. Personne n'est jamais sorti d'ici. La pyramide de Khephren sera notre tombeau ! Tout ce qu'on retrouvera de nous dans cent-cinquante ans, ce sera nos squelettes ! On est emmurés à vie ! À vie ! Condamnés à manger nos doigts, et nos pieds, nos vêtements, puis… ON VA TOUS CREVER !","Vous venez, Larmina ?"
Merci monsieur Bramard. Vous m'avez sauvée.,"Je ne vous ai pas sauvée. Je ne supportais pas les allégations de ce fasciste sur ma sexualité, c'est différent. Comment vont vos amis les Aigles de Khéops ?"
"Ils vont bien, je vous remercie. Ils se battent pour la bonne cause.","Une bonne cause ? Qui leur a valu de me jeter au fond du canal de Suez au milieu d'une forêt de squelettes. D'ailleurs… Voici le Jokari que j'y ai trouvé autour du cou de votre père. Votre père était influent, un saint-homme. Ce n'était sans doute pas un banal incident de Jokari. Venez, nous avons une grosse heure de dromadaire. Ne pleurez pas, Larmina. Cherchez plutôt à qui profite le crime."
"Bonsoir, sidi.",Salam alaykum.
"Lucien, je… J'ai réfléchi. Il n'y a qu'un seul homme qui pouvait en vouloir à mon père. C'est l'imam des Aigles de Khéops.",L'i ?
Mam. Le vieil homme du Fondouk. Je vais le tuer de mes propres mains.,"Calmez-vous, Larmina. On ne tue pas les gens comme ça sur un coup de tête."
Je suis vraiment désolée de ce qui s'est passé l'autre soir au Fondouk.,Moi je ne suis pas désolé. Ce que j'ai vu ce soir-là justifie toutes les tortures.
Lucien…,Même si la pire des tortures fut de ne pas en voir plus.
"Lucien, vous allez me gêner.",Flatteuse.
Flatteur.,"Bien. Écoutez, Larmina. Les Aigles de Khéops vont avoir des armes, et d'un autre côté, le soviet Setine m'a dit que le Kapov avait disparu avec sa cargaison d'armes. Je trouve que cela fait beaucoup d'armes en même temps."
Ce sont sans doute les mêmes armes.,"Possible. Il y a des choses troublantes dans cette affaire. Jefferson est tué, et qu'est-ce qu'il avait noté sur une pochette d'allumettes ? ""Kapov""."
Jack avait peut-être appris que le Kapov était chargé d'armes.,Possible. Mais quel rapport avec la princesse ?
Peut-être que ces armes intéressent aussi la princesse.,"Écoutez, Larmina, je vais vous donner mon sentiment. Jack avait peut-être appris que le Kapov était chargé d'armes, et ces armes intéressent sans doute aussi la princesse. Quant aux armes des Aigles de Khéops, ce sont sans doute les mêmes armes."
Possible.,"Oui, je crois que mon raisonnement tient bon. Larmina, vous allez inviter le vieux fou du Fondouk."
L'imam.,Vous allez l'inviter à prendre un verre ici ce soir et tenter de lui tirer les vers du nez.
Le traître. Il déshonore notre religion.,Vous voyez ce groupe de musiciens folklorique ?
Traditionnel.,Je connais pas le terme arabe. Comment s'appelle cette guitare en forme de gros tourteau fromager ?
La oud.,Voilà ce que nous allons faire. [Chuchote]
"Lucien ! Lucien, j'ai fait parler l'imam. Il a rendez-vous à vingt-et-une heures au ponton 17. Comprendre livraison des armes. Et tenez-vous bien, le vendeur est un occidental et il portait une djellaba déchirée.","Encore une djellaba ? Décidément, entre mon lanceur de poules, mon vendeur d'armes et mon tueur d'english…"
Il s'agit sans doute d'une seule et même djellaba.,"Une djellaba pour trois personnes ? Non, Larmina, vous êtes charmante, mais je pense qu'il s'agit plutôt d'une seule et même personne. Sept heures moins dix. Il faut absolument intervenir avant que l'imam ait pris possession des armes."
"Lucien, je viens avec vous.","Certainement pas. Vous avez pris assez de risques comme ça. Vous allez prévenir Gilbert Plantieux à l'ambassade de France. Vous lui direz que le lanceur de poules, le vendeur d'armes et le tueur d'english, c'est le même homme. Vous vous souviendrez ?"
"Je pense, oui.","Sûre ? Parce que si vous n'êtes pas sûre, il faut le dire, Larmina. Il n'y a pas de honte à ne pas savoir."
"Non ça va, je vous assure.",Sinon je vous le note. Moi ça me prend deux minutes et après je suis tranquille.
"Non, je vous dis que ça va.","Je veux bien vous faire confiance, moi…"
Sidi ! Il est arrivé un grand malheur à la SCEP.,"Oh mon Dieu, les poules ! Filez ! Je passe à la SCEP et je vais au ponton 17 !"
"Ouais, sidi, je sais, vous êtes mon ami.","Tiens, tu achèteras des chaussures à tes enfants."
"Ça va être compliqué en ce moment, parce qu'ils sont à New York pour leurs études.",Ah…
"Alors Bramard, on reprend ses esprits ? Vous connaissez Slimane, je crois.","Slimane ? Toi, mon brave contremaître ?"
"Ah bah… Sauf qu'un contremaître comme celui-là, on le chérit, mon vieux.",Mais je l'ai chéri.
Tiens. Mon porte-bonheur.,"Le président Coty… Comment oses-tu, pilier…"
"Hé ! Position initiale, garçon ! Pas commencer à jouer au malin ! Compris ? Là-bas.","Que voulez-vous, Pelletier ? Savoir où est le Kapov ? Les armes ? Jefferson ?"
"Je me fiche de ça. Je me fiche de ça, mon vieux. Compris ? Avant que Jefferson ne débarque ici, c'était moi le king ici ! Le wali, le caïd ! Après ça, il y a la SEP qui a débarqué.","La SCEP, sidi."
"Que la SEP, la SCEP comme dit Slimane, puisque monsieur sait tout mieux que tout le monde… Vous vous engagez à me la vendre, voire même me la donner. Puis après ça vous partez faire vos petites affaires, je veux même pas le savoir.",Donner la SCEP ? Jamais. Plutôt mourir.
"Vous voulez terminer comme ces poulets ? Vous voulez mourir, Bramard ? Décapité, vidé, plumé ? C'est ça que vous voulez ?","Si c'est pour garder mes poules, oui."
"Je vais vous tirer comme un poulet, vous allez vous prendre un plomb dans le cul, vous allez vous demander d'où il vient.","N'insistez pas, Pelletier, vous n'aurez rien. Woualou."
"""C'est coincé, sidi, c'est coincé, sidi"". Je vois bien que c'est coincé ! Tu me prends pour un crétin ou quoi ? Ho !","Non, vous ne devriez pas…"
[Coup de feu],"Tu vois, Slimane, voilà pourquoi Pelletier a perdu ses marchés. Du matériel mal entretenu, donc des produits de mauvaise qualité. Je ne te punirai pas, Slimane. Je pense que tu as compris la leçon. Je me trompe ? Ta pudeur t'honore, Slimane."
[Arabe],"Ne bougez pas, vieux fou ! Je vous avais prévenu."
Toi ? Mais je te croyais dévoré par les poissons.,"Oh, ils m'ont trouvé immangeable. Trop de muscles. Trop de nerfs. Charmant accueil."
"Levez les mains, OSS 117. Lâchez votre arme. Avancez. Avancez encore, jusqu'à l'imam.",L'i ?
Mam.,"Ah, c'est lui, d'accord. Salam alaykum."
Sidi… Jefferson !,"Hahahaha, Jack ! Jack…"
"Bonsoir, Hubert.",Tu n'es pas mort ?
OSS 283 est mort.,Oui mais toi tu n'es pas mort.
Non.,"Jamais je n'aurais pu imaginer que tu étais encore vivant. D'ailleurs, je pensais que tu étais mort."
Je me suis fait passer pour mort.,Oh mon Dieu… Mais alors c'est toi qui… ?
Oui.,"En plus, j'étais sûr que tu étais mort. Jack. Mon ami. Mon frère."
Ton ami ? Ce n'est pas le souvenir que j'en ai gardé.,"23-0 ! C'est la piquette, Jack ! Tu sais pas jouer, Jack ! T'es mauvais ! Jack ?"
Non. Ce n'est vraiment pas le souvenir que j'en ai gardé.,"Mais pourquoi tu fais ça, Jack ?"
Monsieur Jefferson.,"Vous avez vu, Larmina ? Il n'est pas mort."
C'est pour faire le ménage.,"Jack ! Jack ! Jack ! Jack ! Jack… JACK ! Ça suffit, maintenant ! J'ai dit ça suffit ! Stop ! Bon, ça suffit. Maintenant, princesse, vous allez me dire exactement…"
Empressons-nous ! Nous avons un bateau à neutraliser !,"Voilà, Larmina. Tout est apaisé. Le calme va régner sur votre pays pour des siècles, maintenant. Larmina, je voulais vous dire, j'ai… J'ai peut-être pu vous choquer à deux-trois reprises. Si. Si. Au moins deux fois. Mon obsession pour les automobiles propres et le fait que je ne fume pas, j'ai bien conscience que cela a pu vous heurter. Quoi qu'il en soit, grâce à vous, j'ai vraiment appris une chose. Le mambo ! Je ne vous remercierai jamais assez. Là, choukran."
[Arabe]. Mais il vous reste encore deux-trois petites choses à apprendre.,"Ah oui, comme quoi ?"
[Feu d'artifice],Quel pataquès…
"Ravi de vous voir, Hubert. Comment est la blanquette ?",Elle est bonne.
"J'en suis heureux. Votre mission est un succès. Bon travail, OSS 117.","Oh, je n'ai fait que mon devoir."
"Oui. Cependant, euh… Une chose me chiffonne.",Quoi donc ?
"Cette histoire de kikis. Ah, on s'interroge en haut-lieu.",Vous n'avez pas parlé du kiki à Coty ?
"Hubert, je suis tenu.","Je vous jure, Armand, jamais…"
"Après tout, si vous êtes heureux comme ça…",Mais je n'ai jamais fait cela ! Mademoiselle.
Monsieur ?,"Merci, mademoiselle."
"Après tout, vous avez fait avec ce kiki ce que vous jugiez bon pour la France. Enfin, quoi qu'il en soit, vu le succès total de votre mission en Égypte et votre profonde connaissance des pays musulmans, on me charge de vous envoyer en Iran.","Ah, à la bonne heure ! Ce sera l'occasion de reprendre l'avion."
"Je vous envie, Hubert. L'Iran est un beau pays et je crois que les Occidentaux y sont fort appréciés.","Vous savez, les Occidentaux sont appréciés partout à condition qu'ils y mettent un peu du leur."
"Maître Li te dit ""bonjour"".",C'est gentil.
"Et ""Au revoir"", aussi !",Qui sont ces gens ?
Ce sont les hommes de monsieur Li.,Ah... Enfin !
Nous sommes perdus.,Ils sont perdus.
"Merci, Hubert. Vous m'avez sauvé la vie.",Mais je vous en prie. On a frôlé la catastrophe.
"Je ne sais comment vous remercier. Vous savez décidément tout faire, Hubert.","Ah Je n'ai fait que mon devoir, Comtesse. "
Les sales rouges !,Les sales jaunes.
Non. Les sales rouges.,Au temps pour moi.
"Vous ne connaissez pas bien la Chine,M. Bonisseur de la Bath.","Oh, ma foi... il ne tient qu'à vous de m'en laisser explorer une partie. Si intime soit-elle."
"Bonjour, de la Bath. ","Bonjour, Dutran."
"Bonjour, de la Bath.",Poulard !
"Et alors, ce ski ? ","Très bien,je vous remercie Ledentu Et vous vous allez bien ?"
Comme un lundi.,"Ah! Elle est pas mal, celle-là. Je l'aime bien. ""Comme un lundi""."
"Merci, Hubert.",Je t'en prie mon vieux.
"Bonjour, de la Bath.",Toujours pas de nouvelle de Picot?
Ma foi non. Pas depuis la dispute avec Roussel.,Et Lefranc ?
Il a parlé avec Mongier mais bon...,"Et Borges, il en dit quoi ?"
"Bon ! J'y vais, de la Bath.",Tu passeras le bonjour à Granville.
"Sans faute. Tiens, à ce propos t'as le bonjour de Comolet.","Ce vieux Bernard ! La dernière fois qu'on s'est vu c'était avec Charpon, Leboisset, Labouse et Delanoix. Je crois même qu'il y avait Francard.C'est pour te dire !"
En effet !,"Tu regardes quoi, Castaing ?"
"C'est un plan,pour construire un pédalo en forme de canard, figure-toi",Et ça sert à quoi?
"Ni plus ni moins qu'un pédalo classique Tiens d'ailleurs, si tu peux me le garder une seconde?",Bien sûr.
"Toc, toc toc. Le patron vous fait prévenir qu'il vous attend dans son bureau de la Bath",Merci Ledentu
"Ravi de vous revoir Hubert, Comment s'est passé votre séjour à Gstaad ?","Ma foi, comme un lundi. Frais dans la matiné, soleil l'après-midi. La recette des sports d'hiver réussis."
"Hubert, vous repartez en mission.",Douce chanson que vous me chantez là Armand.
"Tenez, prenez ceci.",Merci.
"Aujourd'hui, il s'appelle Octavio Pela Luerdo. Et il organise des combats de catch dans toute l'Amérique du sud.",Habile.
Oui sauf qu'il a décidé de faire chanter la France.,Il s'agit de l'en empêcher ?
"Non, il s'agit de payer.",Ben v'là autre chose !
Il a en sa possession le microfilm d'une liste de Français qui ont collaboré avec l'Allemagne nazi.,Je comprend que ce ne soit qu'un microfilm. Elle doit être bien courte sa liste.
Tout le monde n'a pas votre loyauté.,"Mais enfin Armand, Le général de Gaulle n'a t-il pas dit que toute la France avait été résistante."
"En effet il l'a dit. Il l'a dit. Eh oui... Bon, quoi qu'il en soit,vous partez pour Rio de Janeiro. En échange du microfilm, vous lui donnez 50 000 Francs.",Nouveau ?
Nouveau.,Habile.
"Je sais Hubert Mais Von Zimmel a insisté, il veut notre meilleur agent.",Je comprends.Dans ce cas.
"Tenez, voici vos papiers, Vous êtes reporter photographe dans un journal du soir. Et vous vous appelez Noël Flantier.",Noël Flantier ?
Oui.,Qui s'occupe de trouver les noms au bureau ?
"C'est le commandant Ludovic Flétanchard,du service couverture.",Noël Flantier... Je vais lui faire un courrier
"Prenez ça du bon côté, Hubert. Rio de Janeire est une ville magnifique. Les filles sont très jolies, Prenez ça comme des vacances.",Des vacances ? Je ne connais pas ce mot.
"Taxi, monsieur ?",Ma foi...
Vous allez où ?,Au Copacabana Palace.
"Montez. Bienvenue à Rio, monsieur.",Abragado. Abragado...
Descends ! Et pas un geste ! Tu as tué mon frère à Gstaâ ! Tu vas mourir. Terminus à Rio pour OTT 117.,Plaît-il ?
Tu as tué mon frère à Gstaâ ! Tu vas mourir !,"Excusez-moi, je..."
"Gstaâ, en Suisse! Le ski !","Ah, Gstaad ? Gstaad..."
C'est mon accent qui vous fait rire ?,Pas du tout.
Vous raciste !,"Mais non, je vous jure que non j'ai même longtemps vécu en Cochinchine."
"Monte, Hubert.",Bill Trumendous ! Ce vieux Bill! 
"Alors, mon vieux Hubert, on a des soucis avec des Chinois ?",Pas le moins du monde. Il aura fait une erreur sur la personne. Voilà tout. 
"You got a point there, motherfucker","Et toi alors, mon vieux Bill? La CIA s'intéresse à L'Amérique du Sud maintenant ?"
"Oh, quelle putain de chaleur!",Trêve de plaisanterie. Pourquoi me suivais-tu Bill?
"C'est à toi de me le dire. Qu'est-ce que tu fais ici bastard, hein ? Qu'est-ce qui se trame ?","Il se trame que je suis en congé, Bill. Ni plus ni moins"
"Come on. Cut the crap. Je te connais, Hubert. Quand t'es là, c'est qu'il y a du grabuge dans l'air.","Crois moi ou non, Bill. Je suis venu ici pour les femmes et les plages. On m'en a venté les charmes et je tenais à vérifier ce qu'on dit sur les Brésiliennes."
"Comme tu voudras, My ass licking cocksucker motherfuckin son of a bitch",Merci mon vieux.
"Tiens, Hubert. Au cas où la mémoire te revenait, n'hésite pas.","Je t'appellerai, Bill, si l'office du tourisme est fermé."
Shut up Kiss my ass,"D'accord, faisons comme ça."
"Oh, pardon. Je suis affreusement maladroite. Apparemment, je vous ai éclaboussé.",Mais je vous en prie.
"Vous êtes superbe, monsieur... Monsieur ?",Flantier. Noël Flantier. Reporter.
Enchantée. Carlotta. Et vous faites un reportage sur...?,Le Brésil.
Vaste sujet. Il vous faudrait un angle d'attaque ?,J'en cherche un en ce moment même.
Magnifique. Vous faites du sport ?,Même pas.
Superbe.,Disons que j'ai un bon pedigree.
Je vais enfiler quelque chose de plus... Confortable.,"Moi aussi, je vais enfiler quelque chose de confortable."
M. Bonisseur de la Bath ?,"Non, Flantier."
"Montez ! Restez tranquille, double un sept.",Charmant voyage.
"Veuillez excuser ces manières un peu cavalières, mais nous tenions à vous parler tranquillement, double un sept.","En réalité, on dit cent dix-sept. Et en plus, moi je vous dis ça mais moi c'est Flantier, Monsieur Flantier."
"Bonjour, je suis le colonel Staman. Voici le colonel Kutner.",Enchanté. Noël Flantier. Je fais un reportage sur le Brésil pour un journal du soir.
"Je vous en prie, nous savons qui vous êtes.Et nous savons aussi ce que vous faites au Brésil, double cent dix-sept.",Juste cent dix-sept.
Nous sommes à la recherche du même homme.,J'écoute.
Le professeur von Zimmel.,J'écoute.
Allons droit au but. Êtes-vous prêt à faire équipe avec le Mossad ?,J'écoute.
"Euh non, c'est nous qui vous écoutons.Êtes vous diposé à travailleriez avec le Mossad ?",Le...?
Mossad. Les services secrets israéliens.,"Rechercher un nazi avec des juifs, quelle drôle d'idée!"
Et pourquoi donc ?,Mais enfin il va les reconnaître.
Comment ça ?,"Je sais pas. Le nez, déjà... Les oreilles, les doigts,les yeux..."
"Vous êtes bien OSS 117, le meilleur agent Français","Oui. Enfin, le meilleur... C'est pas à moi de le dire. Déjà. Et vous savez, comme je dis souvent"
"M. 717, je vous présente Dolores Koulechov. Vous étiez censé faire équipe avec elle.",Bonjour.
"Bonjour. Je suis enchanté. C'est un honneur de vous rencontrer OSS 117. Sachez que votre combat contre la barbarie nazi a traversé les frontières. Et que dans nos écoles de formation, nous sommes bercés de vos exploits. Pour beaucoup d'entre nous, vous êtes une légende.Vous incarnez le rempart contre la sauvagerie. Et je tiens à vous dire à quel point vous êtes un symbole de liberté. Et combien je suis touchée et honorée de travailler avec vous, OSS 117.",Je suis ravi d'avoir une secrétaire aussi jolie.
Pardon ?,"Je leur dis ""je suis ravid'avoir une secrétaire aussi jolie""."
Je ne suis pas votre secrétaire !,"La secrétaire de qui, alors ?"
"De personne ! Je suis lieutenant-colonel de l'armée israélienne. Et l'idée est que nous travaillons ensemble, d'égal à égal.",On en reparlera quand il faudra porter quelque chose de lourd.
"Si vous le désirez, vous pouvez dormir ici ce soir, M. de la Bath. On ne sait jamais jusqu'où vos assaillants peuvent vous poursuivre",Merci.
M. de la Bath. Le microfilm ne nous intéresse pas. C'est Von Zimmel que nous voulons,Je comprends.
Vous vous souvenez de l'enlèvement d'Eichmann ?,Bien sûr
Nous voulons faire avec Von Zimmel ce que nous avons fait avec Eichmann à Buenos Aires. L'enlever et l'emmener en Israël afin qu'il soit jugé pour ses crimes,Qui sont ?
"Bah, qui sont... La participation au génocide !","Ah, ça ? Ah oui... Quelle histoire, ça aussi."
"Nous partons à sa recherche ensemble. Vous récupérez votre microfilm. Et nous, Von Zimmel. Vous commencez demain, et évidemment vous serez seul.",Épatant.
Staman et moi repartons pour Tel Aviv demain matin. Et nous n'avons évidemment jamais entendu parlé de vous. Et nous ne savons même pas qui vous êtes.,Habile.
Voulez-vous laisser l'argent ici ?,"Je ne crois pas, non. C'est l'argent de la France et je ne peux pas me permettre de le laisser à n'importe qui. "
Voulez-vous voir votre chambre M. Flantier?,Oui.
"Pyjama, brosse à dents.",Merci mais je ne me servirai que de la brosse à dents.
Vous faites ce que vous voulez. Bonne nuit.,"Merci pour la brosse à dent, Dolores."
Laila tov,"Bonne nuit, les gars."
"N'en parlons plus, l'incident est clos.",Je me rends bien compte que j'ai été...
Antisémite ?,Non ! Je pensais plutôt maladroit.
"Ne vous tracassez pas. De toute évidence, il n'y avait pas de méchanceté.Vous n'êtes pas le premier,vous n'êtes pas le dernier à dire une bêtise. Notre peuple a toujours nourrit beaucoup de fantasmes.","Ah ben voilà ! Merci de le reconnaître. Comme je dis souvent, vous avez forcément une part de responsabilité. Sans vouloir..."
"(En israélien) Je ferai de mon mieux, colonel.",Bonne nuit à vous aussi.
Comme vous voudrez Hubert. Dans ce cas je vais commencer l'enquête de mon côté.,"Oh non, C'est dommage. Restons ensemble. Venez voir l'hôtel, au moins."
"C'est gentil, ça m'aurait fait plaisir mais je préfère travailler.","C'est ridicule. Il y à la piscine, il y a tout. On s'y mettra cet après midi, on en mettra un bon coup et puis voilà, non ?"
"Non merci,je ne préfère pas. Retrouvons-nous à 13h pour un topo.",Comme vous voudrez. 
Tu as tué mon frère à Gstaad. Tu vas mourir.,Pardon ?
Herr Flantier?,Oui
"Suivez-nous, Herr Flantier.","Je suis ravi de vous revoir. Je n'ai pas eu l'occasion de vous parlerdepuis cette mission à Gstaad. Je voulais vous en remercier. Très belle mission, très agréable.J'espère que vous n'êtes pas trop désappointés, Je n'ai pas pu tuer tous les chintoks. J'en suis désolé. Je sais que vous détestez"
Bonjour.,"Est-ce qu'il serait par hasard possible, j'ignore si ça existe, de consulter un fichier sur lequel il y aurait les noms et adresses d'anciens nazis établis au Brésil?"
"Monsieur, sachez que l'Allemagne est une démocratie. En aucun cas, une ambassade allemande pourrait être au courant des agissements d'anciens nazis.","Oui. Enfin, entre Allemands..."
Tous les allemands ne sont pas nazis Monsieur!,"Oui... Je connais cette théorie, oui."
"Je crois que je vais vous demander de partir, monsieur.","Soit. Chou blanc, donc."
"Ça va, Hubert ? Tout se passe bien ? Alors, vous avez progressé, vous en êtes où ?","Bah... Je vous en prie. A vous d'abord. Je suis certes agent secret, mais je n'en suis pas moins français."
"En revanche de mon côté, je crois que  fait du bon travail. D'après ce que j'ai réussi à savoir, la CIA aurait été en contact avec von Zimmel. Il faudrait essayer de joindre son agent à Rio, un certain Bill Trumendous.",Bill?
Ah... Sacré Hubert!,Bill...
Tu te débrouilles toujours pour être accompagné des plus jolies pépées. ,Ce vieux Bill!
Quelle chaleur!,Ah oui.
"Vous savez, le Brésil est un pays mystérieux. Les gens apparaissent et disparaissent.",Il a passé plus de vingt ans ici. Il a forcément dû laisser des traces.
"Son fils Heinrich est ici, à Rio. Je crois me souvenir qu'il habite dans la favela, aux dernières nouvelles, il vivait dans un groupe hippie",Dans un quoi?
Groupe hippie.,"Oh bon Dieu ! Vivre dans l'urine, c'est affligeant. "
"Non, non. Dans un GROUPE hippie.","Ah, d'accord. Pas un gros pipi..."
Attends. J'ai peut-être la photo. C'est Heinrich von Zimmel.,Oh! Cette tignasse ! 
Ils font ça en signe de protestation. Ils veulent changer le monde.,"Changer le monde ?  Quelle drôle d'idée ? Il est très bien comme ça, le monde. Pourquoi changer ?"
"En gros, pour faire simple, ils veulent faire l'amour, pas la guerre.","Oh mais l'un n'empêche pas l'autre. J'ai toujours fait les deux et jusqu'à présent, je n'ai jamais reçu aucune plainte."
Sacré Hubert! You are so French!,Toi aussi.
"Non en effet, ce n'est pas très rigolo, non.",Ah bon ? Comment ça peut être de l'humour si ce n'est pas rigolo ?
"Vous y arrivez bien, vous dans votre style.",Hum ? Oui.
La plupart n'en ont pas.,"Elle est bonne, celle-là, pas de souliers. J'avoue"
"Vous savez Hubert, la vie n'est pas toujours facile pour les gens ici. C'est d'ailleurs le propre des dictatures.","Une dictature, comme vous y allez. Vous êtes bien sympathique Dolores, mais épargnez-moi vos analyses politiques. Savez-vous seulement ce que c'est qu'une dictature ? Une dictature, c'est quand les gens sont communistes. Déjà. Qu'ils ont froid avec des chapeaux gris et des chaussures à fermeture éclair. C'est ça, une dictature, Dolores."
dont toute l'information est contrôlé par l'état ?,"J'appelle ça la France, mademoiselle. Et pas n'importe laquelle La France du général de Gaulle."
Je crois que c'est là.,Où est Heinrich von Zimmel ? Je répète ma question où est Heinrich von Zimmel ? Et pose ce transistor ! 
Les hippies ne vivent plus ici. Ils sont maintenant sur une plage pas très loin.,"Très bien, allons-y."
Au revoir.,"Au revoir, les enfants."
Je peux vous poser une question Hubert,Bien sûr.
Vous me diriez tout ça si j'étais un homme ?,"Vous savez, les hommes sont rarement des... des... mères de famille."
Nous sommes journalistes et on cherche ton père Heinrich. Où est-il ?,On n'avait pas dit qu'on faisait comme ça.
Ce n'est pas ce que je veux entendre.,Moi non plus.
Je hais mon père. C'est un nazi. Mon père est un salaud. J'ai honte d'être son fils.,"Non, mais oh ! Comment tu parles de ton père ! T'as pas honte ? Qui c'est qui t'a nourri? Jamais je parlerais comme ça de mon père, jamais ! Mon père, il était charron. Je peux te dire que ça filait doux. La mère De la Bath, elle moufetait pas. Les gamins pareil !"
"Mais enfin, son père était nazi.","Peut-être, mais c'était quand même son père."
Dites-moi. Il était charron votre père?,"Non pas du tout. Il était diplomate. Non, c'était de la... torture psychologique."
Mais il avait parlé.,"Oui, mais c'est cette attitude de dénigrement systématique. Ça commence par les parents, la famille, ensuite, c'est le drapeau, la patrie."
"Hubert, son père était un SS.","Un nazi. Ce n'est pas tout à fait pareil. Tous les nazis n'étaient pas SS, Dolores. Attention aux raccourcis Tout de même."
"Si vous voulez, vous pouvez manger là.",Oui...
"Hubert, si vous préférez, on se sépare. Vous, vous restez ici histoire de surveiller Heinrich.",Vous pensez que c'est mieux ?
Je ne sais pas peut-être.,"Vous ne seriez pas en train de vous débarrasser de moi, par hasard ?"
Non. Pas du tout,"Je plaisante, Dolores. Je me doute bien."
Des quoi ?,"Des quiches, quiches lorraines."
Bye.,Bye.
LSD.,"Très bien. J'avais fermé un petit peu l'obturateur. Vu que j'ai mis du 200 ASA, avec la lumière... ça va bien rendre."
On n'est pas en vacances.,"OK, admettons. Vous avez pris une année sabbatique, très bien, mais l'année prochaine, vous y avez pensé à ça, l'année prochaine ? C'est pas le monde qui va se plier à vos désirs, les enfants. C'est pas 68, année de la jeunesse. Ça pas comme ça que ça se passe. C'est le vrai monde dehors. Et le vrai monde, il va chez le coiffeur, déjà. Alors, la guitare, les troubadours, tout ça c'est fini. Non merci, j'ai les miennes."
Tu parlais de la fin des troubadours.,"Oui, c'est ça. Et à propos de quoi je disais ça ?"
"Ça, je sais pas. ","Tu peux pas dire ça, tu me déçois. Je devais forcément dire un truc... "
Tout va bien! Tranquille!,Je préfère que ce soit clair. On a tendance parfois à se faire des idées...
Tout va bien... Tout va bien!,Étrange. 
"Tout c'est bien passé, hier soir ?","Impeccable. J'ai passé une soirée somme toute très tranquille. On a mangé, j'ai pris du SVP et j'ai dormi comme un bébé."
Très bien.,"Hum, hum. Finalement cette bande de hippies est plutôt sympathique. Une fois passée la barrière de l'hygiène, s'entend.  Enfin, que voulez-vous, c'est la jeunesse. Tôt ou tard, la vie se chargera de leur couper les cheveux."
"Hubert, qu'est-ce qu'il vous veut?","Ma foi, je l'ignore. Je ne le connais pas."
"Cet avion sera ton cercueil, OSS 117.",Fermé ! et à clé en plus.
Avec les compliments de M. Li.,Auriez-vous une broche ou une aiguille à tricoter ?
Non.,"Une clé, peut-être."
Non.,Une épingle à nourrice ?
Non plus.,Une baleine de soutien gorge ?
"Je ne porte pas de soutien-gorge. J'ai une épingle à cheveux, si vous voulez. Dépêchez-vous Hubert.",Pourquoi vous n'en portez pas ?
De... ?,De soutien-gorge.
Parce que.,Parce que quoi?
Parce que je fais ce que je veux et que mon corps m'appartient. et ce n'est pas du tout le moment de parler de ça.,Je vois pas bien l'intérêt de ressembler à un homme ? Curieux.
Ca va Hubert?,"Ça va oui, sauf que l'avion perd de l'altitude, on fonce sur les arbres. Je n'aurai pas le temps de sortir le train d'atterrissage."
Y a quoi qui va ?,"Ce qui va, c'est que je suis là."
Mon Dieu !,Merci.
On arrive ?,"Dépêchez-vous,les réservoirs sont en feu l'avion va exploser."
"Merci, Noël.",Allons donc.
"Beau travail. En revanche, je suis très intiguée par ce Chinois. Ce serait tout de même pas un homme de von Zimmel.",Quoi que... Attendez c'est lesquels les Chinois qui étaient alliés aux nazis ?
